Max_temp,Min_temp,Rainfall,Year_April
31.8,22.6,1.5,1951
33.1,23.3,0.0,1952
32.9,23.5,0.5,1953
33.5,23.0,1.2,1954
33.5,22.3,0.0,1955
34.0,23.8,0.0,1956
32.5,23.2,0.0,1957
33.5,24.3,0.0,1958
33.8,24.5,0.2,1959
33.7,23.6,0.5,1960
32.9,23.0,0.0,1961
32.0,22.8,0.0,1962
33.0,23.2,0.0,1963
33.4,23.7,0.0,1964
33.6,23.6,0.2,1965
32.3,22.6,0.0,1966
34.2,23.9,0.0,1967
32.4,22.1,0.0,1968
34.1,24.0,0.0,1969
33.0,24.3,4.3,1970
33.3,24.8,0.0,1971
33.2,23.3,0.0,1972
33.7,24.6,0.0,1973
34.1,24.9,9.2,1974
33.0,23.6,0.0,1975
32.0,22.9,0.0,1976
33.1,25.3,0.2,1977
32.5,24.0,0.0,1978
32.6,23.5,0.0,1979
33.6,25.5,1.0,1980
33.1,24.3,0.0,1981
31.9,23.9,0.0,1982
31.5,22.5,5.8,1983
33.7,25.3,0.0,1984
32.9,24.0,0.0,1985
33.4,24.2,0.0,1986
33.9,24.4,0.0,1987
33.6,25.1,0.0,1988
33.2,23.5,0.0,1989
32.2,23.1,0.0,1990
33.3,24.7,0.4,1991
32.0,23.2,0.0,1992
32.3,23.4,0.0,1993
32.7,24.0,2.0,1994
33.9,23.6,0.0,1995
33.1,23.9,0.0,1996
32.4,23.4,0.0,1997
33.5,24.9,0.0,1998
32.4,24.1,0.0,1999
32.9,24.8,0.0,
