Max_temp,Min_temp,Rainfall,Year_Jan
30.2,14.3,0,1951
30.1,15.3,0,1953
30.1,15.6,0.5,1954
31.1,17.4,0,1955
30,16.3,0,1956
30.3,16.6,0,1957
31.8,17.6,0.8,1958
30,17.5,0,1959
30.6,16.8,0,1960
31.3,17.2,0,1961
29.8,14,4.7,1962
32,17.2,0,1963
29,14.5,0,1964
31.9,17.8,10.1,1965
31.7,17.4,0,1966
30.5,15.9,0,1967
29.6,16.4,0,1968
31,16.3,0,1969
30.9,16.6,0,1970
30.1,15.8,0,1971
31.7,15.6,0,1972
29.3,15.7,0,1973
31.5,16.1,0,1974
30.4,15.6,0,1975
30.9,16.3,0,1976
30.6,17.3,0,1977
29.9,16.8,0,1978
30.3,18.7,0,1979
29.6,18.4,2.2,1980
30.1,17.7,0.2,1981
29.6,18.7,0,1982
30.1,16.7,0,1983
28.6,16.1,0,1984
30.2,16.7,0,1985
31.4,18,0,1986
31.3,18.1,0,1987
32.1,18.8,0,1988
31.1,16.4,2.1,1989
33.6,17.4,0,1990
30.3,15.6,700,1991
31.8,16.9,0,1992
31.5,17,0,1993
31.7,17.9,17.8,1994
30.2,15.9,1.5,1995
30.2,17.2,0.7,1996
30.5,16.2,1.7,1997
30.9,17.9,0,1998
30.7,16.4,0,1999
32.2,17.9,0,2000
