Max_temp,Min_temp,Rainfall,Year_June
31.7,26.1,410.5,1951
31.8,25.6,844.2,1952
31.5,25.0,998.4,1953
31.5,25.9,407.4,1954
31.4,25.9,325.1,1955
31.0,25.6,701.2,1956
32.7,27.0,432.1,1957
32.5,26.7,930.6,1958
31.9,25.9,500.2,1959
31.2,25.4,925.0,1960
32.1,25.6,317.0,1961
32.1,26.2,220.5,1962
32.0,25.2,514.6,1963
32.1,25.2,550.6,1964
32.2,25.4,582.0,1965
31.9,26.0,192.7,1966
31.7,25.5,664.9,1967
32.9,26.3,230.3,1968
32.4,25.9,565.6,1969
31.4,25.5,792.5,1970
30.5,25.4,932.4,1971
33.9,27.6,0.6,1972
32.2,26.4,315.3,1973
32.7,26.7,119.0,1974
31.4,25.5,693.8,1975
31.0,25.2,408.1,1976
32.2,26.0,398.5,1977
31.1,25.3,898.3,1978
32.3,26.7,717.8,1979
31.3,24.4,371.4,1980
33.2,27.9,252.0,1981
32.3,27.0,319.6,1982
32.3,26.9,272.5,1983
32.0,26.1,559.3,1984
31.4,25.8,1026.4,1985
32.7,26.0,550.7,1986
32.6,25.8,472.1,1987
32.7,26.7,434.9,1988
31.9,25.9,441.3,1989
31.6,26.2,740.5,1990
32.4,26.9,905.8,1991
32.7,27.4,129.8,1992
31.9,27.0,373.5,1993
31.6,26.5,553.1,1994
34.0,27.9,82.2,1995
33.1,26.6,219.3,1996
32.1,26.4,499.8,1997
32.9,27.3,540.7,1998
31.4,26.2,521.3,1999
32.0,26.1,356.6,2000
