Max_temp,Min_temp,Rainfall,Year_May
32.2,24.8,55.1,1951
33.1,26.3,0.0,1952
32.4,25.4,0.0,1953
32.6,26.1,0.2,1954
32.8,26.7,0.0,1955
32.3,25.6,96.0,1956
33.5,25.3,22.3,1957
33.6,26.8,4.8,1958
34.6,27.7,17.5,1959
34.4,27.1,4.0,1960
32.9,25.8,28.4,1961
33.4,25.6,32.7,1962
33.3,25.6,0.3,1963
33.4,26.2,1.6,1964
33.1,25.3,0.0,1965
33.4,26.0,9.4,1966
33.9,26.1,0.0,1967
32.2,24.6,0.0,1968
33.7,26.6,0.0,1969
33.6,26.7,39.0,1970
33.4,26.4,87.9,1971
33.7,26.1,0.1,1972
33.3,27.1,0.0,1973
33.2,26.0,34.3,1974
33.4,26.4,1.5,1975
32.5,25.6,1.1,1976
33.2,27.0,0.0,1977
33.7,27.0,0.2,1978
33.0,25.5,0.3,1979
33.7,26.4,0.0,1980
33.7,27.1,0.0,1981
33.4,26.7,2.2,1982
32.6,26.2,0.0,1983
33.2,27.0,0.0,1984
33.0,26.5,3.1,1985
33.6,27.1,0.0,1986
34.1,26.2,0.0,1987
33.7,27.2,0.0,1988
33.9,26.7,0.0,1989
33.2,26.7,133.4,1990
33.7,27.2,0.6,1991
32.8,26.5,0.0,1992
33.2,26.9,0.0,1993
33.1,26.4,5.8,1994
34.0,27.3,0.0,1995
33.2,26.5,0.0,1996
33.1,26.1,0.0,1997
34.6,28.0,0.3,1998
32.8,26.3,61.4,1999
32.9,26.4,386.4,2000
